,Dataset001_BrainTumour,Dataset002_Heart,Dataset003_Liver,Dataset004_Hippocampus,Dataset005_Prostate,Dataset006_Lung,Dataset007_Pancreas,Dataset008_HepaticVessel,Dataset009_Spleen,Dataset010_Colon
Dataset001_BrainTumour,0.0,0.0043173001959034285,0.0036933959870146,0.011105158249201583,0.006997912263958136,0.0031838042505608903,0.003605676312616274,0.003651464050105792,0.003785184670960881,0.003844454953201662
Dataset002_Heart,0.0043173001959034285,0.0,0.0001145572965632008,0.0023272280447646275,0.0005119814120905859,0.0001761084295137745,0.00012341533501207687,0.00011833616856077398,0.00011610386139258183,0.00010723497108808196
Dataset003_Liver,0.0036933959870146,0.0001145572965632008,0.0,0.0027460309659235673,0.0007137069644293654,5.8148261849296965e-05,7.275171387134357e-06,8.690887451450434e-06,6.235737607830443e-06,7.010261347193455e-06
Dataset004_Hippocampus,0.011105158249201583,0.0023272280447646275,0.0027460309659235673,0.0,0.0010003285976567353,0.003196707373456867,0.002816930277670792,0.002770281675679442,0.0026799823698876748,0.0026401658735961406
Dataset005_Prostate,0.006997912263958136,0.0005119814120905859,0.0007137069644293654,0.0010003285976567353,0.0,0.0009657184222407961,0.0007637725834642673,0.0007424565127544831,0.0006856564736865678,0.0006633441420172901
Dataset006_Lung,0.0031838042505608903,0.0001761084295137745,5.8148261849296965e-05,0.003196707373456867,0.0009657184222407961,0.0,5.232156122924995e-05,5.6570606007362275e-05,7.43671530742373e-05,7.99100350517576e-05
Dataset007_Pancreas,0.003605676312616274,0.00012341533501207687,7.275171387134357e-06,0.002816930277670792,0.0007637725834642673,5.232156122924995e-05,0.0,2.541201340616598e-06,7.00434206659837e-06,9.955468051941032e-06
Dataset008_HepaticVessel,0.003651464050105792,0.00011833616856077398,8.690887451450434e-06,0.002770281675679442,0.0007424565127544831,5.6570606007362275e-05,2.541201340616598e-06,0.0,6.134821413629802e-06,9.258336984561836e-06
Dataset009_Spleen,0.003785184670960881,0.00011610386139258183,6.235737607830443e-06,0.0026799823698876748,0.0006856564736865678,7.43671530742373e-05,7.00434206659837e-06,6.134821413629802e-06,0.0,2.977056001657232e-06
Dataset010_Colon,0.003844454953201662,0.00010723497108808196,7.010261347193455e-06,0.0026401658735961406,0.0006633441420172901,7.99100350517576e-05,9.955468051941032e-06,9.258336984561836e-06,2.977056001657232e-06,0.0
